schoolname,state,countgroup,localegroup,bodyparts,prohibited
Nantucket High,MA,500-999,town,"[""back"",""chest"",""buttocks"",""midriff""]",none
North Carroll High,MD,500-999,suburb,"[""back"",""buttocks"",""cleavage"",""midriff""]",none
Midland High School,TX,1500+,city,"[""midriff"",""torso""]",none
Spencer High School,IA,500-999,town,"[""cleavage"",""midriff""]",none
Pella High School,IA,500-999,town,"[""chest"",""cleavage"",""midriff""]",none
Mcgregor High School,TX,200-499,town,"[""midriff""]",none
Westhill High School,CT,1500+,city,"[""chest"",""midriff""]",none
Quincy High,MA,1000-1500,suburb,"[""midriff""]",none
Currituck County High,NC,1000-1500,rural,"[""cleavage"",""midriff""]",none
Nevada High School,IA,200-499,town,"[""cleavage"",""midriff""]",none
Adm Senior High School,IA,200-499,town,"[""back"",""midriff""]",none
Wausaukee High,WI,< 200,rural,[null],
Pleasant Grove High School,TX,500-999,city,"[""midriff""]",none
Bastrop High School,TX,1000-1500,town,"[""back"",""midriff""]",none
Tgu-Granville High School,ND,< 200,rural,"[""cleavage""]",none
Marinette High,WI,500-999,town,[null],
Portsmouth High School,NH,1000-1500,suburb,"[""cleavage""]",none
Borger High School,TX,500-999,town,"[""midriff""]",none
Cabool High,MO,200-499,rural,"[""midriff""]",none
Symmes Valley High School,OH,200-499,rural,[null],
Weldon Valley High School,CO,< 200,rural,"[""midriff""]",none
Shadow Hills High,CA,1500+,rural,"[""back"",""buttocks"",""midriff""]",none
Laingsburg High School,MI,200-499,rural,"[""cleavage""]",none
Columbia High School,NY,1000-1500,rural,[null],
Twin Valley High School,VT,< 200,rural,[null],
Shawano High,WI,500-999,town,"[""cleavage"",""midriff""]",none
Hallsville High School,TX,1000-1500,rural,"[""midriff""]",none
Laurel High School,MT,500-999,town,"[""back"",""chest"",""midriff""]",none
G.f.w. High School,MN,200-499,rural,"[""cleavage"",""midriff""]",none
Wayzata High,MN,1500+,city,[null],
Hart High School,MI,200-499,town,"[""cleavage"",""midriff""]",none
Dover High School,OK,< 200,rural,"[""midriff""]",none
Scotia-Glenville Senior High School,NY,500-999,suburb,"[""midriff""]",none
Powder River Co Dist High,MT,< 200,rural,"[""torso""]",none
Plymouth-Whitemarsh Shs,PA,1000-1500,suburb,"[""back"",""chest"",""midriff""]",none
Central High School,GA,1000-1500,town,"[""cleavage"",""midriff""]",none
Jericho Senior High School,NY,1000-1500,suburb,"[""back"",""chest"",""midriff""]",none
Salida High School,CO,200-499,town,"[""back"",""chest"",""buttocks"",""midriff""]",none
Thomas Jefferson High School,CO,1000-1500,city,"[""back"",""chest"",""buttocks"",""midriff""]",none
Sheridan High School,WY,500-999,town,"[""cleavage"",""midriff""]",none
Nelson County High,VA,500-999,rural,"[""back"",""chest"",""midriff""]",none
Creekview High School,TX,1500+,suburb,"[""midriff""]",none
Hudson High,WI,1500+,town,"[""back"",""chest"",""buttocks"",""midriff""]",none
Morenci High School,AZ,200-499,town,"[""back"",""chest"",""cleavage"",""midriff""]",none
West Seneca East Senior High School,NY,500-999,suburb,[null],
Weston Ranch High,CA,1000-1500,city,"[""chest"",""midriff""]",none
Nex Gen Academy,NM,200-499,city,[null],
Lander Valley High School,WY,200-499,town,"[""cleavage"",""midriff""]",none
Skiatook High School,OK,500-999,town,"[""midriff""]",none
Horlick High,WI,1500+,city,"[""midriff""]",none
West Delaware High School,IA,200-499,town,"[""midriff""]",none
East Coweta High School,GA,1500+,suburb,[null],
Niskayuna High School,NY,1000-1500,suburb,[null],
Emporia High,KS,1000-1500,town,[null],
Newport Middle High School (High),NH,200-499,rural,"[""midriff""]",none
South Central Calhoun High School,IA,200-499,rural,[null],
Jackson Hole High School,WY,500-999,rural,"[""midriff""]",none
Iraan High School,TX,< 200,rural,"[""midriff""]",none
Horizon High School,AZ,1500+,city,"[""chest"",""buttocks"",""midriff""]",none
Lincoln Senior High School,MI,1000-1500,rural,[null],
Turpin High School,OK,< 200,rural,"[""midriff""]",none
Bellport Senior High School,NY,1000-1500,suburb,"[""midriff""]",none
Platte Canyon High School,CO,200-499,rural,"[""back"",""chest"",""buttocks"",""cleavage"",""midriff""]",none
Rosemont High,CA,1000-1500,suburb,"[""midriff""]",none
Bowlegs High School,OK,< 200,rural,"[""buttocks"",""midriff""]",none
Spencerport High School,NY,1000-1500,suburb,"[""midriff""]",none
Piedmont High School,OK,500-999,rural,"[""chest"",""cleavage"",""midriff""]",none
Riverdale High School,FL,1500+,rural,"[""midriff""]",none
Pittsfield High School,NH,< 200,rural,"[""cleavage"",""torso""]",none
West Islip Senior High School,NY,1500+,suburb,[null],
Kenyon-Wanamingo Senior High,MN,200-499,rural,"[""midriff""]",none
Crater Academy of Health and Public Services,OR,200-499,suburb,"[""midriff""]",none
Grand Ledge High School,MI,1500+,suburb,"[""cleavage"",""midriff""]",none
David Prouty High,MA,200-499,suburb,"[""midriff""]",none
Tarkington High School,TX,500-999,rural,"[""back"",""chest"",""cleavage"",""midriff""]",none
South Glens Falls Senior High School,NY,500-999,suburb,"[""midriff""]",none
Affton High,MO,500-999,suburb,[null],
Azle High School,TX,1500+,suburb,"[""cleavage"",""torso""]",none
Luray High,VA,500-999,town,"[""midriff""]",none
Lebanon Sr. High,MO,1000-1500,town,"[""midriff""]",none
Higley High School,AZ,1500+,suburb,"[""chest"",""buttocks"",""midriff""]",none
Appoquinimink High School,DE,1500+,rural,"[""back"",""cleavage"",""midriff""]",none
Quanah High School,TX,< 200,rural,"[""midriff""]",none
Rham High School,CT,1000-1500,rural,"[""midriff""]",none
Lynnville-Sully High School,IA,< 200,rural,"[""cleavage"",""midriff""]",none
Grandview Sr. High,MO,1000-1500,suburb,"[""back"",""chest"",""buttocks"",""cleavage"",""midriff""]",none
Fontana High,CA,1500+,suburb,"[""chest"",""midriff""]",female
Whitman Hanson Regional,MA,1000-1500,suburb,"[""back"",""midriff""]",none
Harlowton High School,MT,< 200,rural,[null],
Oak Creek High,WI,1500+,suburb,"[""chest""]",none
Marathon High,WI,200-499,rural,"[""midriff""]",none
