schoolname,state,countgroup,localegroup,bodyparts,prohibited
Sauk Rapids-Rice Senior High,MN,1000-1500,rural,"[""cleavage"",""midriff""]",none
Bradford Area High School,PA,500-999,town,"[""midriff""]",none
Northland Pines High,WI,200-499,rural,"[""chest""]",none
Mahopac High School,NY,1500+,suburb,[null],
Anacortes High School,WA,500-999,town,"[""midriff""]",none
Lapine Senior High School,OR,200-499,rural,"[""buttocks"",""midriff""]",none
Lynnfield High,MA,500-999,suburb,"[""midriff""]",none
Fairview High School,PA,200-499,rural,"[""buttocks"",""midriff"",""torso""]",none
Housatonic Valley Regional High School,CT,200-499,rural,"[""chest"",""midriff""]",none
Daniel Hand High School,CT,1000-1500,suburb,[null],
Croswell-Lexington High School,MI,500-999,rural,"[""back"",""midriff""]",none
Hornell Senior High School,NY,500-999,town,[null],
North Fayette High School,IA,200-499,rural,"[""midriff""]",none
Thorp High,WI,< 200,rural,"[""cleavage""]",none
Centerville High School,IA,200-499,town,"[""back"",""midriff""]",none
Creston High School,IA,200-499,town,"[""midriff""]",none
Brookfield High School,CT,500-999,suburb,"[""chest"",""midriff""]",none
John Stark Regional High School,NH,500-999,rural,[null],
Mount Union Area Shs,PA,200-499,town,"[""midriff"",""torso""]",none
Prentice High,WI,< 200,rural,"[""cleavage"",""midriff"",""torso""]",none
Charleston High,MO,200-499,town,"[""midriff""]",none
Mountain Range High School,CO,1500+,suburb,"[""buttocks"",""cleavage"",""midriff""]",none
Jenks High School,OK,1500+,suburb,"[""chest"",""midriff"",""torso""]",none
Alberton High School,MT,< 200,rural,[null],
Concord High,NC,1000-1500,city,"[""back"",""cleavage"",""midriff""]",none
Clinton High,WI,200-499,rural,"[""cleavage"",""midriff""]",none
Bethel Park High School,PA,1500+,suburb,"[""chest"",""midriff""]",none
Potosi High,WI,< 200,rural,"[""back"",""cleavage"",""midriff""]",none
Quincy High School,WA,500-999,town,"[""midriff""]",none
Strafford High,MO,200-499,suburb,"[""midriff""]",none
Silver Valley High,CA,200-499,rural,"[""midriff""]",none
Mashpee High,MA,200-499,suburb,"[""back"",""cleavage"",""midriff""]",none
Edison Academy,MA,200-499,suburb,"[""midriff""]",none
Ramon C. Cortines School of Visual and Performing Arts,CA,1500+,city,"[""midriff""]",none
Burkburnett High School,TX,500-999,town,"[""cleavage"",""midriff""]",none
Henry J. Kaiser High,CA,1500+,suburb,"[""buttocks"",""midriff""]",none
Mt. Vernon High,MO,200-499,town,"[""chest"",""midriff"",""torso""]",none
Forsyth High,MO,200-499,town,[null],
Clear Creek High School,CO,200-499,rural,"[""back"",""chest"",""buttocks"",""midriff""]",none
Assets,TX,200-499,suburb,"[""midriff""]",none
Washtenaw International High School,MI,200-499,suburb,"[""chest"",""buttocks""]",none
